file,truncated,total,ratio
neutral__000.json,13,13,1.0000
neutral__001.json,13,13,1.0000
neutral__002.json,13,13,1.0000
neutral__003.json,13,13,1.0000
neutral__004.json,13,13,1.0000
neutral__005.json,13,13,1.0000
pressure_release__000.json,17,17,1.0000
pressure_release__001.json,23,23,1.0000
pressure_release__002.json,28,28,1.0000
pressure_release__003.json,19,21,0.9048
pressure_release__004.json,28,28,1.0000
pressure_release__005.json,18,19,0.9474
pressure_sustained__000.json,17,17,1.0000
pressure_sustained__001.json,20,23,0.8696
pressure_sustained__002.json,28,28,1.0000
pressure_sustained__003.json,17,21,0.8095
pressure_sustained__004.json,28,28,1.0000
pressure_sustained__005.json,19,19,1.0000
pressure_switch__000.json,17,17,1.0000
pressure_switch__001.json,23,23,1.0000
pressure_switch__002.json,28,28,1.0000
pressure_switch__003.json,20,21,0.9524
pressure_switch__004.json,28,28,1.0000
pressure_switch__005.json,19,19,1.0000
TOTAL,475,486,0.9774
